Joint Reconfiguration Analysis Results
==================================================

Input file: data/trajectory/1158/collision_free_trajectory.csv
Threshold: 1.000 radians
Total timesteps: 1245
Total reconfigurations: 66
Reconfiguration rate: 5.3%

Per-joint statistics:
ur20-shoulder_pan_joint: 6 reconfigurations, max change: 2.907 rad
ur20-shoulder_lift_joint: 6 reconfigurations, max change: 3.045 rad
ur20-elbow_joint: 2 reconfigurations, max change: 1.365 rad
ur20-wrist_1_joint: 6 reconfigurations, max change: 2.580 rad
ur20-wrist_2_joint: 5 reconfigurations, max change: 3.280 rad
ur20-wrist_3_joint: 61 reconfigurations, max change: 3.204 rad

All Reconfiguration Timesteps:
Timestep   Max Change   Joints Involved               
------------------------------------------------------------
119        2.483        wrist_3
183        1.403        wrist_3
185        1.315        wrist_3
186        1.245        wrist_3
187        1.255        wrist_3
188        1.103        wrist_3
189        1.111        wrist_3
192        1.005        wrist_3
267        1.101        wrist_3
303        1.266        wrist_3
313        1.698        wrist_3
315        2.435        wrist_3
318        2.879        wrist_3
389        2.961        wrist_3
394        3.041        wrist_3
395        3.055        wrist_3
398        3.132        wrist_3
452        3.001        wrist_3
577        3.045        shoulder_pan, shoulder_lift, wrist_1, wrist_2
681        3.066        wrist_3
688        3.204        wrist_3
691        3.182        wrist_3
700        2.894        shoulder_pan, shoulder_lift, elbow, wrist_1
710        2.753        wrist_3
716        2.614        wrist_3
749        2.489        wrist_3
753        2.348        wrist_3
758        2.063        wrist_3
764        1.936        wrist_3
767        1.902        wrist_3
770        1.884        wrist_3
771        1.876        wrist_3
773        1.822        wrist_3
777        1.621        wrist_3
779        1.578        wrist_3
840        3.242        shoulder_pan, shoulder_lift, wrist_1, wrist_2
845        3.280        shoulder_pan, shoulder_lift, elbow, wrist_1, wrist_2, wrist_3
846        1.428        wrist_3
848        1.514        wrist_3
852        1.290        wrist_3
856        1.211        wrist_3
859        1.044        wrist_3
864        3.250        shoulder_pan, shoulder_lift, wrist_1, wrist_2
869        3.248        shoulder_pan, shoulder_lift, wrist_1, wrist_2
1036       1.200        wrist_3
1037       1.033        wrist_3
1038       1.045        wrist_3
1041       1.229        wrist_3
1042       1.215        wrist_3
1043       1.270        wrist_3
1047       1.457        wrist_3
1051       1.585        wrist_3
1068       1.699        wrist_3
1072       1.959        wrist_3
1074       2.009        wrist_3
1075       1.993        wrist_3
1080       2.191        wrist_3
1084       2.324        wrist_3
1085       2.317        wrist_3
1088       2.378        wrist_3
1094       2.431        wrist_3
1099       2.483        wrist_3
1102       2.659        wrist_3
1105       2.767        wrist_3
1106       2.760        wrist_3
1108       2.883        wrist_3
