Joint Reconfiguration Analysis Results
============================================================

Input file: data/trajectory/2369/joint_trajectory_dp.csv
Threshold: 1.000 radians
Total timesteps: 2369
Total reconfigurations: 142
Reconfiguration rate: 6.0%

Per-joint statistics:
ur20-shoulder_pan_joint: 1 reconfigurations, max change: 2.301 rad
ur20-shoulder_lift_joint: 0 reconfigurations, max change: 0.423 rad
ur20-elbow_joint: 1 reconfigurations, max change: 3.949 rad
ur20-wrist_1_joint: 4 reconfigurations, max change: 3.024 rad
ur20-wrist_2_joint: 2 reconfigurations, max change: 3.316 rad
ur20-wrist_3_joint: 140 reconfigurations, max change: 3.160 rad

All Reconfiguration Timesteps:
Timestep   Max Change   Joints Involved               
------------------------------------------------------------
1          1.493        wrist_3
2          1.488        wrist_3
6          1.426        wrist_3
13         1.329        wrist_3
16         1.483        wrist_3
17         1.479        wrist_3
19         1.346        wrist_3
21         1.337        wrist_3
24         1.338        wrist_3
25         1.345        wrist_3
28         1.348        wrist_3
29         1.341        wrist_3
31         1.323        wrist_3
40         1.310        wrist_3
41         1.203        wrist_3
42         1.204        wrist_3
44         1.205        wrist_3
45         1.200        wrist_3
46         1.205        wrist_3
49         1.200        wrist_3
51         1.205        wrist_3
53         1.201        wrist_3
64         1.065        wrist_3
68         1.064        wrist_3
73         1.069        wrist_3
74         1.062        wrist_3
78         1.064        wrist_3
79         1.057        wrist_3
90         1.127        wrist_3
95         1.131        wrist_3
97         1.129        wrist_3
124        1.035        wrist_3
126        1.030        wrist_3
442        1.035        wrist_3
448        1.038        wrist_3
450        1.037        wrist_3
465        1.137        wrist_3
466        1.149        wrist_3
467        1.135        wrist_3
468        1.174        wrist_3
473        1.325        wrist_3
474        1.291        wrist_3
477        2.621        wrist_1, wrist_2, wrist_3
478        1.185        wrist_3
499        1.407        wrist_3
503        1.385        wrist_3
504        1.402        wrist_3
505        1.452        wrist_3
510        1.200        wrist_3
512        1.300        wrist_3
513        1.332        wrist_3
524        1.485        wrist_3
525        1.454        wrist_3
531        1.659        wrist_3
533        1.629        wrist_3
534        1.611        wrist_3
535        1.626        wrist_3
538        1.624        wrist_3
539        1.607        wrist_3
542        1.659        wrist_3
543        1.644        wrist_3
544        1.614        wrist_3
567        1.814        wrist_3
570        1.811        wrist_3
572        1.816        wrist_3
578        1.789        wrist_3
582        1.807        wrist_3
584        1.988        wrist_3
585        1.974        wrist_3
590        1.978        wrist_3
593        2.145        wrist_3
627        2.302        wrist_3
647        2.478        wrist_3
663        2.471        wrist_3
669        2.665        wrist_3
681        2.647        wrist_3
683        2.636        wrist_3
696        2.819        wrist_3
702        2.816        wrist_3
726        2.988        wrist_3
789        2.470        wrist_1, wrist_3
1023       1.069        wrist_3
1024       1.076        wrist_3
1234       1.136        wrist_3
1307       1.287        wrist_3
1320       1.291        wrist_3
1322       1.464        wrist_3
1330       3.316        wrist_1, wrist_2
1331       2.878        wrist_3
1332       3.949        shoulder_pan, elbow, wrist_1
1334       1.373        wrist_3
1656       3.010        wrist_3
1657       3.025        wrist_3
1658       3.006        wrist_3
1670       3.038        wrist_3
1674       3.014        wrist_3
1676       3.034        wrist_3
1879       2.665        wrist_3
1892       1.529        wrist_3
1896       1.536        wrist_3
1897       1.406        wrist_3
1898       1.391        wrist_3
1911       1.260        wrist_3
2073       2.683        wrist_3
2076       2.680        wrist_3
2083       2.587        wrist_3
2095       2.566        wrist_3
2096       2.567        wrist_3
2100       2.566        wrist_3
2101       2.573        wrist_3
2153       3.160        wrist_3
2162       3.030        wrist_3
2165       2.912        wrist_3
2171       2.789        wrist_3
2173       2.798        wrist_3
2191       2.446        wrist_3
2204       2.347        wrist_3
2205       2.358        wrist_3
2206       2.356        wrist_3
2225       2.339        wrist_3
2258       2.143        wrist_3
2262       2.135        wrist_3
2265       2.147        wrist_3
2282       2.033        wrist_3
2308       1.978        wrist_3
2309       1.976        wrist_3
2311       1.931        wrist_3
2322       1.831        wrist_3
2323       1.826        wrist_3
2324       1.818        wrist_3
2325       1.805        wrist_3
2326       1.807        wrist_3
2327       1.827        wrist_3
2336       1.724        wrist_3
2337       1.732        wrist_3
2352       1.728        wrist_3
2354       1.665        wrist_3
2356       1.648        wrist_3
2357       1.657        wrist_3
2358       1.661        wrist_3
2361       1.514        wrist_3
2366       1.505        wrist_3
