ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
-0.32484186,-0.7822228,2.265286,-0.8840073,1.3137339,-0.17187066
-0.3205149,-0.79655313,2.2620757,-0.8690958,1.3220116,-0.16563255
-0.3352761,-0.80523604,2.2580383,-0.85095674,1.2834712,-0.19224122
-0.33680284,-0.8149638,2.2550237,-0.838187,1.2777587,-0.19587214
-0.32672083,-0.8234202,2.253849,-0.83336985,1.3016653,-0.17883104
-0.3471107,-0.82992005,2.2486641,-0.81314933,1.2485067,-0.21588676
-0.36541146,-0.8186579,2.2482255,-0.813925,1.2044126,-0.24817856
-0.36942405,-0.80318487,2.2516885,-0.8291196,1.201268,-0.25203514
-0.36178187,-0.79551,2.2557127,-0.84453183,1.2220148,-0.23720263
-0.35817423,-0.78450286,2.2593524,-0.8601763,1.2345401,-0.22883488
-0.35146284,-0.7789454,2.2272532,-0.73356014,1.2637594,-0.25650743
-0.39224225,-0.77526706,2.2525947,-0.84137344,1.1595173,-0.28700024
-0.39022344,-0.7671385,2.2552824,-0.85291034,1.1675826,-0.2815605
-0.3912889,-0.7845501,2.2504249,-0.83125234,1.1578549,-0.2872758
-0.39418635,-0.79464686,2.2466118,-0.8161531,1.1467478,-0.29482505
-0.395074,-0.8032887,2.243722,-0.80466336,1.1409101,-0.2983871
-0.3916215,-0.81517947,2.2412128,-0.7935503,1.1439483,-0.29460388
-0.3821825,-0.82416093,2.2415168,-0.7918853,1.1625509,-0.27922285
-0.3715195,-0.8326448,2.2420332,-0.7912898,1.1847358,-0.26160163
-0.3572216,-0.8458551,2.241107,-0.78567535,1.2189584,-0.23615652
-0.355348,-0.85757005,2.237274,-0.77183557,1.2212107,-0.23393738
-0.343907,-0.8700621,2.235029,-0.7635552,1.2483162,-0.21413955
-0.3334561,-0.8551789,2.2424579,-0.7895748,1.2784408,-0.1937431
-0.31922632,-0.84677017,2.2472491,-0.80803,1.3164114,-0.16779509
-0.30194092,-0.8394699,2.2506018,-0.8241871,1.3610804,-0.13759519
-0.29261553,-0.8291177,2.2532444,-0.8389093,1.3854647,-0.121506825
-0.2908325,-0.82165,2.2551928,-0.8481492,1.3908381,-0.11810012
-0.29923308,-0.81349397,2.2577112,-0.85581404,1.3714265,-0.13138781
-0.27660438,-0.80624545,2.257843,-0.86741346,1.4262441,-0.094954014
-0.28422678,-0.79712296,2.2604582,-0.87575996,1.4078782,-0.10761482
-0.27580577,-0.7831476,2.2617269,-0.8871703,1.4239662,-0.097942546
-0.26899195,-0.7754466,2.261965,-0.893089,1.4374967,-0.08941009
-0.26286966,-0.79256976,2.2582626,-0.87784463,1.4540143,-0.0774963
-0.24845831,-0.80297446,2.2538373,-0.8666086,1.4877592,-0.05479162
-0.23091874,-0.8118283,2.24838,-0.8549974,1.5284435,-0.027826924
-0.22342359,-0.80245346,2.2484584,-0.86132485,1.5429949,-0.01839671
-0.22603461,-0.79297554,2.250863,-0.87034404,1.5351306,-0.023744006
-0.21168151,-0.78517884,2.247134,-0.8692385,1.5657245,-0.0034158048
-0.19223568,-0.7780641,2.2408164,-0.86361575,1.6054605,0.023661964
-0.1898674,-0.7895757,2.2379103,-0.8523881,1.6149807,0.02994728
-0.19113044,-0.7977271,2.236954,-0.84624547,1.6153029,0.02997336
-0.17824447,-0.80590373,2.2297823,-0.83045256,1.6470429,0.051335573
-0.17774063,-0.81375,2.227944,-0.82330346,1.6511031,0.053763792
-0.18533924,-0.82331556,2.2297204,-0.82127154,1.635506,0.042816024
-0.19794436,-0.83675677,2.2327175,-0.819236,1.6089432,0.024803335
-0.20799084,-0.828745,2.2385583,-0.8324442,1.5836655,0.008382764
-0.22303356,-0.8211089,2.2445154,-0.8445711,1.5480624,-0.014854323
-0.23588622,-0.828435,2.2459562,-0.8413166,1.5209877,-0.032338846
-0.22580303,-0.83740145,2.2414713,-0.83052695,1.5455703,-0.016292341
-0.2366406,-0.8460348,2.2416089,-0.8234799,1.5209937,-0.03204503
-0.24384017,-0.86210227,2.2379153,-0.80415136,1.5016859,-0.044395216
-0.24638776,-0.8696255,2.235863,-0.7948805,1.4946159,-0.048888847
-0.27672735,-0.87290674,2.2385867,-0.7884644,1.4189042,-0.0982146
-0.2981944,-0.86597383,2.2421415,-0.7926647,1.3664879,-0.13315274
-0.2945898,-0.85593736,2.2453146,-0.80599487,1.3768779,-0.12650882
-0.2787311,-0.8482346,2.2467546,-0.81854683,1.4170902,-0.09996711
-0.26568776,-0.83656603,2.2488925,-0.8342058,1.4505721,-0.07809659
-0.2634483,-0.8157613,2.254025,-0.8577168,1.4570857,-0.07429086
-0.24188447,-0.78107816,2.2563758,-0.8842856,1.4978004,-0.04889947
-0.23872465,-0.7870618,2.2127335,-0.7136321,1.5102273,-0.05219661
