time,ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.0,-0.22975181,-0.48261184,1.2435578,-1.2961514,-1.7693229,-0.11641207
1.0,-0.23369358,-0.48346967,1.2428781,-1.2950218,-1.7727131,-0.11846412
2.0,-0.38958144,-0.5397608,1.3921641,-1.4597353,-1.0678163,0.32324547
3.0,-0.23868388,-0.48461714,1.2419614,-1.2934849,-1.7770039,-0.12106613
4.0,-0.24172546,-0.489609,1.2421842,-1.2890431,-1.7796184,-0.122654356
5.0,-0.39584467,-0.5500325,1.4058218,-1.4611695,-1.0729629,0.3191774
6.0,-0.23196451,-0.48862603,1.2442685,-1.2910761,-1.771226,-0.11756364
7.0,-0.3922099,-0.54773974,1.3986117,-1.4573812,-1.0699753,0.32153547
8.0,-0.39047185,-0.55021375,1.3957644,-1.4526033,-1.0685475,0.32266572
9.0,-0.23326744,-0.49454707,1.2450677,-1.2860895,-1.7723466,-0.11824214
10.0,-0.22916771,-0.49797267,1.2465533,-1.2837261,-1.7688205,-0.116108224
11.0,-0.21693946,-0.49884477,1.2490793,-1.2841641,-1.7582979,-0.10976112
12.0,-0.21539618,-0.49458992,1.2486045,-1.2877957,-1.7569695,-0.10896188
13.0,-0.2272101,-0.49277708,1.2460481,-1.288217,-1.7671365,-0.115090355
14.0,-0.22689547,-0.4899978,1.2285331,-1.2734495,-1.7668657,-0.11492684
15.0,-0.23077664,-0.49055848,1.2277855,-1.2725376,-1.7702044,-0.11694531
16.0,-0.22855733,-0.49535218,1.2290689,-1.2687997,-1.7682954,-0.11579078
17.0,-0.3902459,-0.562293,1.3972831,-1.4421136,-1.0683619,0.32281277
18.0,-0.38895914,-0.56589466,1.3953261,-1.436959,-1.0673052,0.3236509
19.0,-3.0785384,-2.6406138,-1.2275196,-1.8905911,1.6253937,0.031558443
20.0,-3.0691319,-2.6383474,-1.2468973,-1.8732032,1.6335354,0.03627797
21.0,-3.076811,-2.638565,-1.2451365,-1.8749752,1.6268891,0.032424863
22.0,-3.0745,-2.633585,-1.2464247,-1.878601,1.6288893,0.03358413
23.0,-3.0652864,-2.6316345,-1.248711,-1.8779783,1.6368634,0.03820871
24.0,-3.062272,-2.6285582,-1.2497466,-1.8799171,1.6394719,0.039722763
25.0,-3.0565934,-2.6257672,-1.2511983,-1.8810534,1.6443857,0.042576574
26.0,-3.0577588,-2.6299033,-1.2504252,-1.8777332,1.6433773,0.041990697
27.0,-3.0533986,-2.630068,-1.251184,-1.8766465,1.6471498,0.044182934
28.0,-3.0493002,-2.626816,-1.2523198,-1.8786018,1.6506954,0.046244662
29.0,-3.043467,-2.6263893,-1.2532808,-1.8778261,1.6557415,0.049181223
30.0,-3.0497973,-2.6319442,-1.2515212,-1.8742923,1.6502655,0.045994602
31.0,-3.0543218,-2.635268,-1.2502593,-1.8724067,1.6463511,0.043718714
32.0,-3.0580847,-2.6370175,-1.2493117,-1.8717445,1.6430954,0.04182693
33.0,-3.0608988,-2.6341345,-1.2492203,-1.8748194,1.6406602,0.04041267
34.0,-3.064693,-2.6388824,-1.2477378,-1.8716837,1.637377,0.038506817
35.0,-3.0624988,-2.6438224,-1.2473582,-1.867049,1.6392757,0.039608818
36.0,-3.0586047,-2.6418884,-1.2484273,-1.8677768,1.6426452,0.041565496
37.0,-3.0529218,-2.642749,-1.2492924,-1.8658388,1.6475623,0.044422705
38.0,-3.0490377,-2.6392133,-1.2505225,-1.8679914,1.6509225,0.04637678
