pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,1.019778720541906,0.0029715461293037745,-0.13,0.9976262912806396,0.0,0.0,0.06886060517913192,3.3670812640002623,2.1532470380007,5.520328302000962,5504,5504,15.559212212999228,7.804676719000781,0,0,0,11,0,True,True,
2,1.0142008328799874,0.00893942029849686,-0.13,0.9965401446052341,0.0,0.0,0.08311281604048207,2.4582112170000983,2.029333311999835,4.487544528999933,5504,5504,14.2514677019999,6.3413232180000705,0,0,0,11,0,True,True,
3,0.9961505928617915,-0.005405099490658425,-0.13,0.9987199955784182,0.0,0.0,-0.050580336414899826,2.4725947009992524,2.001761190000252,4.4743558909995045,5504,5504,14.07945780099999,6.376684527999714,0,0,0,11,0,True,True,
4,0.9940414821971365,-0.009352634561789981,-0.13,0.997855795852899,0.0,0.0,0.06545082644839353,2.5062295170000652,2.0464232349995655,4.552652751999631,5504,5504,14.05107553400012,6.292817704999834,0,0,0,11,0,True,True,
5,0.9923674834309076,0.014514407109937729,-0.13,0.999670899879304,0.0,0.0,0.025653302604197056,2.4957082370001444,2.0365558149997014,4.532264051999846,5504,5504,14.034954047999236,6.246928297999148,0,0,0,11,0,True,True,
6,0.9829115171418285,-0.013723408222063518,-0.13,0.9986705770040888,0.0,0.0,-0.051546858549483286,2.502453363999848,2.014622340000642,4.51707570400049,5504,5504,14.494827790000272,6.701508437000484,0,0,0,12,0,True,True,
7,1.010490017117004,-0.010883138477072136,-0.13,0.9965361654351339,0.0,0.0,0.08316051334521309,2.536052325000128,2.027311245999954,4.563363571000082,5504,5504,14.020288749000429,6.276078220999807,0,0,0,11,0,True,True,
8,1.0116868052008685,0.014781930067777543,-0.13,0.9974130638223279,0.0,0.0,0.07188310035437297,2.5245427449999625,2.021949682000013,4.546492426999976,5504,5504,14.038734628999919,6.2564630809993105,0,0,0,11,0,True,True,
9,1.0172965108252359,-0.0011801545936992348,-0.13,0.9989599738010553,0.0,0.0,0.045595731635701756,2.4935970030001045,2.0315618389995507,4.525158841999655,5504,5504,14.046482976000334,6.28508404600143,0,0,0,11,0,True,True,
10,1.010908081849027,-0.0021565200626548764,-0.13,0.9988159104787501,0.0,0.0,0.0486495321098323,2.547241995999684,2.049965250000241,4.597207245999925,5504,5504,14.012594456999977,6.249793142998897,0,0,0,11,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,1.0049832044045695,-0.00014936518024222662,-0.12999999999999998,0.9980808817737851,0.0,0.0,0.03902392327529416,2.590371236899955,2.0412730947000455,4.6316443316,5504.0,5504.0,14.25890958989994,6.483135739599947,0.0,0.0,0.0,11.1,0.0,10,10/10,
STD,0.011873958968885817,0.009732412579207901,2.7755575615628914e-17,0.0010030329545585425,0.0,0.0,0.048069541029217996,0.26017221848676075,0.03967258744989905,0.29815161704070975,0.0,0.0,0.4564281810602277,0.4588617774006362,0.0,0.0,0.0,0.3,0.0,,,
